experiments/gt864-p22-main-i16-ssa/candidate.sym.S:551: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
experiments/gt864-p22-main-i16-ssa/candidate.sym.S:553: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
experiments/gt864-p22-main-i16-ssa/candidate.sym.S:555: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
experiments/gt864-p22-main-i16-ssa/candidate.sym.S:571: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
experiments/gt864-p22-main-i16-ssa/candidate.sym.S:573: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
experiments/gt864-p22-main-i16-ssa/candidate.sym.S:575: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
experiments/gt864-p22-main-i16-ssa/candidate.sym.S:577: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
experiments/gt864-p22-main-i16-ssa/candidate.sym.S:579: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
experiments/gt864-p22-main-i16-ssa/candidate.sym.S:581: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
experiments/gt864-p22-main-i16-ssa/candidate.sym.S:583: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
experiments/gt864-p22-main-i16-ssa/candidate.sym.S:585: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
experiments/gt864-p22-main-i16-ssa/candidate.sym.S:601: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
experiments/gt864-p22-main-i16-ssa/candidate.sym.S:603: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
experiments/gt864-p22-main-i16-ssa/candidate.sym.S:605: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
experiments/gt864-p22-main-i16-ssa/candidate.sym.S:607: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
experiments/gt864-p22-main-i16-ssa/candidate.sym.S:609: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
experiments/gt864-p22-main-i16-ssa/candidate.sym.S:611: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
experiments/gt864-p22-main-i16-ssa/candidate.sym.S:613: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
experiments/gt864-p22-main-i16-ssa/candidate.sym.S:615: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
experiments/gt864-p22-main-i16-ssa/candidate.sym.S:631: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
experiments/gt864-p22-main-i16-ssa/candidate.sym.S:633: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
experiments/gt864-p22-main-i16-ssa/candidate.sym.S:635: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
experiments/gt864-p22-main-i16-ssa/candidate.sym.S:637: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
experiments/gt864-p22-main-i16-ssa/candidate.sym.S:639: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
experiments/gt864-p22-main-i16-ssa/candidate.sym.S:641: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
experiments/gt864-p22-main-i16-ssa/candidate.sym.S:643: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
experiments/gt864-p22-main-i16-ssa/candidate.sym.S:645: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
check-symbolic-asm: 0 error(s), 128 warning(s)
