family,cut,block,observation,cycles
cpucycles tracesetup 0 amd64-perfpmcff precision 0 scaling 0.000000 only32 0
cpucycles tracesetup 1 amd64-perfpmc precision 0 scaling 0.000000 only32 0
cpucycles tracesetup 2 amd64-pmcff precision 0 scaling 0.000000 only32 0
cpucycles tracesetup 3 amd64-tsc precision 1016 scaling 0.467415 only32 0
cpucycles tracesetup 4 amd64-tscasm precision 1026 scaling 0.467415 only32 0
cpucycles tracesetup 5 default-perfevent precision 206 scaling 1.000000 only32 0
cpucycles tracesetup 6 default-mach precision 0 scaling 0.000000 only32 0
cpucycles tracesetup 7 default-monotonic precision 1075 scaling 1.400000 only32 0
cpucycles tracesetup 8 default-gettimeofday precision 2440 scaling 1400.000000 only32 0
cpucycles tracesetup 9 default-zero precision 0 scaling 0.000000 only32 0
2,1,0,11,1098
2,1,0,12,1090
2,1,0,13,1094
2,1,0,14,1092
2,1,0,15,1108
2,1,0,16,1096
2,1,0,17,1095
2,1,0,18,1098
2,1,0,19,1093
2,1,0,20,1079
2,1,0,21,1108
2,1,0,22,1102
2,1,0,23,1101
2,1,0,24,1084
2,1,0,25,1098
2,1,0,26,1071
2,1,0,27,1078
2,1,0,28,1098
2,1,0,29,1086
2,1,0,30,1074
2,1,0,31,1085
2,2,0,0,2049
2,2,0,1,2034
2,2,0,2,2048
2,2,0,3,2036
2,2,0,4,2050
2,2,0,5,2046
2,2,0,6,2053
2,2,0,7,2055
2,2,0,8,2049
2,2,0,9,2044
2,2,0,10,2041
2,2,0,11,2043
2,2,0,12,2076
2,2,0,13,2065
2,2,0,14,2050
2,2,0,15,2072
2,2,0,16,2047
2,2,0,17,2010
2,2,0,18,2041
2,2,0,19,2036
2,2,0,20,2061
2,2,0,21,2023
2,2,0,22,2068
2,2,0,23,2066
2,2,0,24,2019
2,2,0,25,2054
2,2,0,26,2033
2,2,0,27,2025
2,2,0,28,2044
2,2,0,29,2048
2,2,0,30,2047
2,2,0,31,2052
2,3,0,0,2890
2,3,0,1,2903
2,3,0,2,2893
2,3,0,3,2860
2,3,0,4,2874
2,3,0,5,2885
2,3,0,6,2897
2,3,0,7,2864
2,3,0,8,2889
2,3,0,9,2864
2,3,0,10,2893
2,3,0,11,2922
2,3,0,12,2852
2,3,0,13,2856
2,3,0,14,2868
2,3,0,15,2878
2,3,0,16,2889
2,3,0,17,2893
2,3,0,18,2899
2,3,0,19,2876
2,3,0,20,2906
2,3,0,21,2913
2,3,0,22,2930
2,3,0,23,2895
2,3,0,24,2889
2,3,0,25,2870
2,3,0,26,2883
2,3,0,27,2865
2,3,0,28,2882
2,3,0,29,2887
2,3,0,30,2886
2,3,0,31,2921
2,4,0,0,3403
2,4,0,1,3381
2,4,0,2,3426
2,4,0,3,3414
2,4,0,4,3381
2,4,0,5,3420
2,4,0,6,3427
2,4,0,7,3399
2,4,0,8,3413
2,4,0,9,3399
2,4,0,10,3392
2,4,0,11,3452
2,4,0,12,3418
2,4,0,13,3428
2,4,0,14,3406
2,4,0,15,3435
2,4,0,16,3452
2,4,0,17,3410
2,4,0,18,3436
2,4,0,19,3424
2,4,0,20,3415
2,4,0,21,3385
2,4,0,22,3410
2,4,0,23,3438
2,4,0,24,3416
2,4,0,25,3394
2,4,0,26,3408
2,4,0,27,3414
2,4,0,28,3407
2,4,0,29,3413
2,4,0,30,3410
2,4,0,31,3393
2,5,0,0,3676
2,5,0,1,3625
2,5,0,2,3656
2,5,0,3,3619
2,5,0,4,3624
2,5,0,5,3638
2,5,0,6,3676
2,5,0,7,3602
2,5,0,8,3617
2,5,0,9,3623
2,5,0,10,3649
2,5,0,11,3614
2,5,0,12,3618
2,5,0,13,3624
2,5,0,14,3662
2,5,0,15,3643
2,5,0,16,3637
2,5,0,17,3619
2,5,0,18,3627
2,5,0,19,3606
2,5,0,20,3599
2,5,0,21,3650
2,5,0,22,3629
2,5,0,23,3632
2,5,0,24,3623
2,5,0,25,3654
2,5,0,26,3651
2,5,0,27,3620
2,5,0,28,3626
2,5,0,29,3639
2,5,0,30,3631
2,5,0,31,3636
2,6,0,0,15497
2,6,0,1,15455
2,6,0,2,15420
2,6,0,3,15382
2,6,0,4,15431
2,6,0,5,15569
2,6,0,6,16043
2,6,0,7,15500
2,6,0,8,15603
2,6,0,9,15430
2,6,0,10,15535
2,6,0,11,15397
2,6,0,12,15504
2,6,0,13,15594
2,6,0,14,15640
2,6,0,15,15985
2,6,0,16,15632
2,6,0,17,15804
2,6,0,18,15603
2,6,0,19,15412
2,6,0,20,15364
2,6,0,21,15365
2,6,0,22,15361
2,6,0,23,15429
2,6,0,24,15382
2,6,0,25,15429
2,6,0,26,15367
2,6,0,27,15497
2,6,0,28,15638
2,6,0,29,15462
2,6,0,30,15393
2,6,0,31,15449
2,7,0,0,15890
2,7,0,1,15601
2,7,0,2,15768
2,7,0,3,15789
2,7,0,4,15723
2,7,0,5,15788
2,7,0,6,15862
2,7,0,7,15847
2,7,0,8,15720
2,7,0,9,15824
2,7,0,10,15517
2,7,0,11,15593
2,7,0,12,15504
2,7,0,13,15571
2,7,0,14,15765
2,7,0,15,15752
2,7,0,16,15759
