region,block,slot,observation,bank,cycles
0,4,1,4,4,12299
0,4,1,5,5,12436
0,4,1,6,6,12321
0,4,1,7,7,12319
0,4,1,8,8,12262
0,4,1,9,9,12369
0,4,1,10,10,12350
0,4,1,11,11,12278
0,4,1,12,12,12413
0,4,1,13,13,12619
0,4,1,14,14,12341
0,4,1,15,15,12262
0,4,1,16,0,12301
0,4,1,17,1,12304
0,4,1,18,2,12224
0,4,1,19,3,12387
0,4,1,20,4,12350
0,4,1,21,5,12286
0,4,1,22,6,12368
0,4,1,23,7,12233
0,4,1,24,8,12366
0,4,1,25,9,12273
0,4,1,26,10,12294
0,4,1,27,11,12276
0,4,1,28,12,12339
0,4,1,29,13,12322
0,4,1,30,14,12315
0,4,1,31,15,12303
0,4,2,0,0,12336
0,4,2,1,1,12342
0,4,2,2,2,12357
0,4,2,3,3,12406
0,4,2,4,4,12282
0,4,2,5,5,12342
0,4,2,6,6,12337
0,4,2,7,7,12328
0,4,2,8,8,12235
0,4,2,9,9,12327
0,4,2,10,10,12324
0,4,2,11,11,12299
0,4,2,12,12,12288
0,4,2,13,13,12334
0,4,2,14,14,12297
0,4,2,15,15,12300
0,4,2,16,0,12291
0,4,2,17,1,12311
0,4,2,18,2,12359
0,4,2,19,3,12320
0,4,2,20,4,12395
0,4,2,21,5,12263
0,4,2,22,6,12341
0,4,2,23,7,12607
0,4,2,24,8,12364
0,4,2,25,9,12389
0,4,2,26,10,12333
0,4,2,27,11,12412
0,4,2,28,12,12345
0,4,2,29,13,13340
0,4,2,30,14,12476
0,4,2,31,15,12528
0,4,3,0,0,12374
0,4,3,1,1,12497
0,4,3,2,2,12575
0,4,3,3,3,12689
0,4,3,4,4,12299
0,4,3,5,5,12444
0,4,3,6,6,12312
0,4,3,7,7,12384
0,4,3,8,8,12370
0,4,3,9,9,12330
0,4,3,10,10,12335
0,4,3,11,11,12437
0,4,3,12,12,12306
0,4,3,13,13,12379
0,4,3,14,14,12556
0,4,3,15,15,12447
0,4,3,16,0,12406
0,4,3,17,1,12475
0,4,3,18,2,12394
0,4,3,19,3,12340
0,4,3,20,4,12348
0,4,3,21,5,12362
0,4,3,22,6,12345
0,4,3,23,7,12381
0,4,3,24,8,12280
0,4,3,25,9,12341
0,4,3,26,10,12347
0,4,3,27,11,12327
0,4,3,28,12,12398
0,4,3,29,13,12299
0,4,3,30,14,12338
0,4,3,31,15,12469
0,5,0,0,0,12254
0,5,0,1,1,12333
0,5,0,2,2,12364
0,5,0,3,3,12312
0,5,0,4,4,12332
0,5,0,5,5,12331
0,5,0,6,6,12369
0,5,0,7,7,12309
0,5,0,8,8,12286
0,5,0,9,9,12221
0,5,0,10,10,12266
0,5,0,11,11,12300
0,5,0,12,12,12260
0,5,0,13,13,12287
0,5,0,14,14,12213
0,5,0,15,15,12187
0,5,0,16,0,12312
0,5,0,17,1,12277
0,5,0,18,2,12344
0,5,0,19,3,12581
0,5,0,20,4,12356
0,5,0,21,5,12332
0,5,0,22,6,12542
0,5,0,23,7,12746
0,5,0,24,8,12809
0,5,0,25,9,12433
0,5,0,26,10,12422
0,5,0,27,11,12302
0,5,0,28,12,12333
0,5,0,29,13,12362
0,5,0,30,14,12301
0,5,0,31,15,12287
0,5,1,0,0,12445
0,5,1,1,1,12559
0,5,1,2,2,12545
0,5,1,3,3,12476
0,5,1,4,4,12424
0,5,1,5,5,12446
0,5,1,6,6,12407
0,5,1,7,7,12358
0,5,1,8,8,12506
0,5,1,9,9,12471
0,5,1,10,10,12662
0,5,1,11,11,12421
0,5,1,12,12,12697
0,5,1,13,13,12449
0,5,1,14,14,12425
0,5,1,15,15,12432
0,5,1,16,0,12428
0,5,1,17,1,12408
0,5,1,18,2,12505
0,5,1,19,3,12474
0,5,1,20,4,12470
0,5,1,21,5,12538
0,5,1,22,6,12527
0,5,1,23,7,12373
0,5,1,24,8,12427
0,5,1,25,9,12395
0,5,1,26,10,12322
0,5,1,27,11,12858
0,5,1,28,12,12658
0,5,1,29,13,12493
0,5,1,30,14,12421
0,5,1,31,15,12479
0,5,2,0,0,12469
0,5,2,1,1,12569
0,5,2,2,2,12488
0,5,2,3,3,12207
0,5,2,4,4,12345
0,5,2,5,5,12521
0,5,2,6,6,12461
0,5,2,7,7,12356
0,5,2,8,8,12397
0,5,2,9,9,12411
0,5,2,10,10,12385
0,5,2,11,11,12697
0,5,2,12,12,12440
