phase,branch,quartic_lane,vector_group,register,register_lane,physical_pos,branch_pos,block_k,twist_index,input_n3,input_n32,dft_output_k3,ntt32_stage,ntt32_len,ntt32_work_index,ntt32_input_k32,ntt32_role,pair_lo_index,pair_hi_index,twiddle_power,twiddle_mont,twiddle_normal,source_pos_n3_0,source_pos_n3_1,source_pos_n3_2,source_twist_n3_0,source_twist_n3_1,source_twist_n3_2,notes
dft3_output_pack,0,0,1,v4,6,-1,-1,-1,-1,-1,14,0,-1,-1,-1,-1,dft_output,-1,-1,0,-147,1,312,184,56,78,46,14,linear_combination_of_three_input_crt_sources
dft3_output_pack,0,0,1,v4,7,-1,-1,-1,-1,-1,15,0,-1,-1,-1,-1,dft_output,-1,-1,0,-147,1,60,316,188,15,79,47,linear_combination_of_three_input_crt_sources
dft3_output_pack,0,0,1,v5,0,-1,-1,-1,-1,-1,8,1,-1,-1,-1,-1,dft_output,-1,-1,0,-147,1,288,160,32,72,40,8,linear_combination_of_three_input_crt_sources
dft3_output_pack,0,0,1,v5,1,-1,-1,-1,-1,-1,9,1,-1,-1,-1,-1,dft_output,-1,-1,0,-147,1,36,292,164,9,73,41,linear_combination_of_three_input_crt_sources
dft3_output_pack,0,0,1,v5,2,-1,-1,-1,-1,-1,10,1,-1,-1,-1,-1,dft_output,-1,-1,0,-147,1,168,40,296,42,10,74,linear_combination_of_three_input_crt_sources
dft3_output_pack,0,0,1,v5,3,-1,-1,-1,-1,-1,11,1,-1,-1,-1,-1,dft_output,-1,-1,0,-147,1,300,172,44,75,43,11,linear_combination_of_three_input_crt_sources
dft3_output_pack,0,0,1,v5,4,-1,-1,-1,-1,-1,12,1,-1,-1,-1,-1,dft_output,-1,-1,0,-147,1,48,304,176,12,76,44,linear_combination_of_three_input_crt_sources
dft3_output_pack,0,0,1,v5,5,-1,-1,-1,-1,-1,13,1,-1,-1,-1,-1,dft_output,-1,-1,0,-147,1,180,52,308,45,13,77,linear_combination_of_three_input_crt_sources
dft3_output_pack,0,0,1,v5,6,-1,-1,-1,-1,-1,14,1,-1,-1,-1,-1,dft_output,-1,-1,0,-147,1,312,184,56,78,46,14,linear_combination_of_three_input_crt_sources
dft3_output_pack,0,0,1,v5,7,-1,-1,-1,-1,-1,15,1,-1,-1,-1,-1,dft_output,-1,-1,0,-147,1,60,316,188,15,79,47,linear_combination_of_three_input_crt_sources
dft3_output_pack,0,0,1,v6,0,-1,-1,-1,-1,-1,8,2,-1,-1,-1,-1,dft_output,-1,-1,0,-147,1,288,160,32,72,40,8,linear_combination_of_three_input_crt_sources
dft3_output_pack,0,0,1,v6,1,-1,-1,-1,-1,-1,9,2,-1,-1,-1,-1,dft_output,-1,-1,0,-147,1,36,292,164,9,73,41,linear_combination_of_three_input_crt_sources
dft3_output_pack,0,0,1,v6,2,-1,-1,-1,-1,-1,10,2,-1,-1,-1,-1,dft_output,-1,-1,0,-147,1,168,40,296,42,10,74,linear_combination_of_three_input_crt_sources
