branch,quartic_lane,top_split_output_pos,top_split_branch_pos,top_split_pair_index,top_split_low_input_pos,top_split_high_input_pos,top_split_formula,source_block_k,source_n3,source_n32,source_vector_group,source_input_register,source_input_register_lane,twist_table,twist_index,twist_mont,twist_normal,dft3_column,dft3_output_k3,dft3_factor_exp,dft3_factor_mont,dft3_factor_normal,dft3_one_mul_role,source_pos_n3_0,source_pos_n3_1,source_pos_n3_2,source_twist_n3_0,source_twist_n3_1,source_twist_n3_2,ntt32_input_k32,ntt32_input_work_index,ntt32_input_register,ntt32_input_register_lane,ntt32_input_vector_group,ntt32_bitrev_output_index,ntt32_bitrev_output_register,ntt32_bitrev_output_lane,notes
0,0,288,288,288,288,672,low_plus_zeta_high,72,0,8,1,v4,0,twist_branch0,72,-109,1741,8,1,0,-147,1,x0,288,160,32,72,40,8,8,8,v5,0,1,2,v4,2,top_split_then_twist_then_dft3_contribution_then_natural_ntt32_input_bitrev_output
0,0,288,288,288,288,672,low_plus_zeta_high,72,0,8,1,v4,0,twist_branch0,72,-109,1741,8,2,0,-147,1,x0,288,160,32,72,40,8,8,8,v5,0,1,2,v4,2,top_split_then_twist_then_dft3_contribution_then_natural_ntt32_input_bitrev_output
0,0,160,160,160,160,544,low_plus_zeta_high,40,1,8,1,v5,0,twist_branch0,40,-1164,2195,8,0,0,-147,1,x0_plus_x1_plus_x2,288,160,32,72,40,8,8,8,v5,0,1,2,v4,2,top_split_then_twist_then_dft3_contribution_then_natural_ntt32_input_bitrev_output
0,0,160,160,160,160,544,low_plus_zeta_high,40,1,8,1,v5,0,twist_branch0,40,-1164,2195,8,1,1,-886,2734,plus_omega3_times_d,288,160,32,72,40,8,8,8,v5,0,1,2,v4,2,top_split_then_twist_then_dft3_contribution_then_natural_ntt32_input_bitrev_output
0,0,160,160,160,160,544,low_plus_zeta_high,40,1,8,1,v5,0,twist_branch0,40,-1164,2195,8,2,2,1033,722,minus_x1_minus_omega3_times_d,288,160,32,72,40,8,8,8,v5,0,1,2,v4,2,top_split_then_twist_then_dft3_contribution_then_natural_ntt32_input_bitrev_output
0,0,32,32,32,32,416,low_plus_zeta_high,8,2,8,1,v6,0,twist_branch0,8,256,1715,8,0,0,-147,1,x0_plus_x1_plus_x2,288,160,32,72,40,8,8,8,v5,0,1,2,v4,2,top_split_then_twist_then_dft3_contribution_then_natural_ntt32_input_bitrev_output
0,0,32,32,32,32,416,low_plus_zeta_high,8,2,8,1,v6,0,twist_branch0,8,256,1715,8,1,2,1033,722,minus_x2_minus_omega3_times_d,288,160,32,72,40,8,8,8,v5,0,1,2,v4,2,top_split_then_twist_then_dft3_contribution_then_natural_ntt32_input_bitrev_output
0,0,32,32,32,32,416,low_plus_zeta_high,8,2,8,1,v6,0,twist_branch0,8,256,1715,8,2,1,-886,2734,plus_omega3_times_d,288,160,32,72,40,8,8,8,v5,0,1,2,v4,2,top_split_then_twist_then_dft3_contribution_then_natural_ntt32_input_bitrev_output
0,0,36,36,36,36,420,low_plus_zeta_high,9,0,9,1,v4,1,twist_branch0,9,128,2586,9,0,0,-147,1,x0_plus_x1_plus_x2,36,292,164,9,73,41,9,9,v5,1,1,18,v6,2,top_split_then_twist_then_dft3_contribution_then_natural_ntt32_input_bitrev_output
0,0,36,36,36,36,420,low_plus_zeta_high,9,0,9,1,v4,1,twist_branch0,9,128,2586,9,1,0,-147,1,x0,36,292,164,9,73,41,9,9,v5,1,1,18,v6,2,top_split_then_twist_then_dft3_contribution_then_natural_ntt32_input_bitrev_output
0,0,36,36,36,36,420,low_plus_zeta_high,9,0,9,1,v4,1,twist_branch0,9,128,2586,9,2,0,-147,1,x0,36,292,164,9,73,41,9,9,v5,1,1,18,v6,2,top_split_then_twist_then_dft3_contribution_then_natural_ntt32_input_bitrev_output
0,0,292,292,292,292,676,low_plus_zeta_high,73,1,9,1,v5,1,twist_branch0,73,1674,2599,9,0,0,-147,1,x0_plus_x1_plus_x2,36,292,164,9,73,41,9,9,v5,1,1,18,v6,2,top_split_then_twist_then_dft3_contribution_then_natural_ntt32_input_bitrev_output
