pair_i,low_input_pos,high_input_pos,top_zeta_mont,top_zeta_normal,asm_loop_iter,asm_lane,asm_low_load_register,asm_high_load_register,asm_temp_register,branch0_output_pos,branch0_output_register,branch0_formula,branch1_output_pos,branch1_output_register,branch1_formula,notes
54,54,438,-1033,2735,6,6,v4,v10,v16,54,v4,t=fqmul_zeta_top_a[438];r[54]=a[54]+t,438,v10,t=fqmul_zeta_top_a[438];r[438]=a[54]+a[438]-t,matches_original_ntt_s_level0_load_shape
55,55,439,-1033,2735,6,7,v4,v10,v16,55,v4,t=fqmul_zeta_top_a[439];r[55]=a[55]+t,439,v10,t=fqmul_zeta_top_a[439];r[439]=a[55]+a[439]-t,matches_original_ntt_s_level0_load_shape
56,56,440,-1033,2735,7,0,v4,v10,v16,56,v4,t=fqmul_zeta_top_a[440];r[56]=a[56]+t,440,v10,t=fqmul_zeta_top_a[440];r[440]=a[56]+a[440]-t,matches_original_ntt_s_level0_load_shape
57,57,441,-1033,2735,7,1,v4,v10,v16,57,v4,t=fqmul_zeta_top_a[441];r[57]=a[57]+t,441,v10,t=fqmul_zeta_top_a[441];r[441]=a[57]+a[441]-t,matches_original_ntt_s_level0_load_shape
58,58,442,-1033,2735,7,2,v4,v10,v16,58,v4,t=fqmul_zeta_top_a[442];r[58]=a[58]+t,442,v10,t=fqmul_zeta_top_a[442];r[442]=a[58]+a[442]-t,matches_original_ntt_s_level0_load_shape
59,59,443,-1033,2735,7,3,v4,v10,v16,59,v4,t=fqmul_zeta_top_a[443];r[59]=a[59]+t,443,v10,t=fqmul_zeta_top_a[443];r[443]=a[59]+a[443]-t,matches_original_ntt_s_level0_load_shape
60,60,444,-1033,2735,7,4,v4,v10,v16,60,v4,t=fqmul_zeta_top_a[444];r[60]=a[60]+t,444,v10,t=fqmul_zeta_top_a[444];r[444]=a[60]+a[444]-t,matches_original_ntt_s_level0_load_shape
61,61,445,-1033,2735,7,5,v4,v10,v16,61,v4,t=fqmul_zeta_top_a[445];r[61]=a[61]+t,445,v10,t=fqmul_zeta_top_a[445];r[445]=a[61]+a[445]-t,matches_original_ntt_s_level0_load_shape
62,62,446,-1033,2735,7,6,v4,v10,v16,62,v4,t=fqmul_zeta_top_a[446];r[62]=a[62]+t,446,v10,t=fqmul_zeta_top_a[446];r[446]=a[62]+a[446]-t,matches_original_ntt_s_level0_load_shape
63,63,447,-1033,2735,7,7,v4,v10,v16,63,v4,t=fqmul_zeta_top_a[447];r[63]=a[63]+t,447,v10,t=fqmul_zeta_top_a[447];r[447]=a[63]+a[447]-t,matches_original_ntt_s_level0_load_shape
64,64,448,-1033,2735,0,0,v5,v11,v17,64,v5,t=fqmul_zeta_top_a[448];r[64]=a[64]+t,448,v11,t=fqmul_zeta_top_a[448];r[448]=a[64]+a[448]-t,matches_original_ntt_s_level0_load_shape
65,65,449,-1033,2735,0,1,v5,v11,v17,65,v5,t=fqmul_zeta_top_a[449];r[65]=a[65]+t,449,v11,t=fqmul_zeta_top_a[449];r[449]=a[65]+a[449]-t,matches_original_ntt_s_level0_load_shape
66,66,450,-1033,2735,0,2,v5,v11,v17,66,v5,t=fqmul_zeta_top_a[450];r[66]=a[66]+t,450,v11,t=fqmul_zeta_top_a[450];r[450]=a[66]+a[450]-t,matches_original_ntt_s_level0_load_shape
67,67,451,-1033,2735,0,3,v5,v11,v17,67,v5,t=fqmul_zeta_top_a[451];r[67]=a[67]+t,451,v11,t=fqmul_zeta_top_a[451];r[451]=a[67]+a[451]-t,matches_original_ntt_s_level0_load_shape
68,68,452,-1033,2735,0,4,v5,v11,v17,68,v5,t=fqmul_zeta_top_a[452];r[68]=a[68]+t,452,v11,t=fqmul_zeta_top_a[452];r[452]=a[68]+a[452]-t,matches_original_ntt_s_level0_load_shape
69,69,453,-1033,2735,0,5,v5,v11,v17,69,v5,t=fqmul_zeta_top_a[453];r[69]=a[69]+t,453,v11,t=fqmul_zeta_top_a[453];r[453]=a[69]+a[453]-t,matches_original_ntt_s_level0_load_shape
70,70,454,-1033,2735,0,6,v5,v11,v17,70,v5,t=fqmul_zeta_top_a[454];r[70]=a[70]+t,454,v11,t=fqmul_zeta_top_a[454];r[454]=a[70]+a[454]-t,matches_original_ntt_s_level0_load_shape
71,71,455,-1033,2735,0,7,v5,v11,v17,71,v5,t=fqmul_zeta_top_a[455];r[71]=a[71]+t,455,v11,t=fqmul_zeta_top_a[455];r[455]=a[71]+a[455]-t,matches_original_ntt_s_level0_load_shape
72,72,456,-1033,2735,1,0,v5,v11,v17,72,v5,t=fqmul_zeta_top_a[456];r[72]=a[72]+t,456,v11,t=fqmul_zeta_top_a[456];r[456]=a[72]+a[456]-t,matches_original_ntt_s_level0_load_shape
73,73,457,-1033,2735,1,1,v5,v11,v17,73,v5,t=fqmul_zeta_top_a[457];r[73]=a[73]+t,457,v11,t=fqmul_zeta_top_a[457];r[457]=a[73]+a[457]-t,matches_original_ntt_s_level0_load_shape
74,74,458,-1033,2735,1,2,v5,v11,v17,74,v5,t=fqmul_zeta_top_a[458];r[74]=a[74]+t,458,v11,t=fqmul_zeta_top_a[458];r[458]=a[74]+a[458]-t,matches_original_ntt_s_level0_load_shape
75,75,459,-1033,2735,1,3,v5,v11,v17,75,v5,t=fqmul_zeta_top_a[459];r[75]=a[75]+t,459,v11,t=fqmul_zeta_top_a[459];r[459]=a[75]+a[459]-t,matches_original_ntt_s_level0_load_shape
76,76,460,-1033,2735,1,4,v5,v11,v17,76,v5,t=fqmul_zeta_top_a[460];r[76]=a[76]+t,460,v11,t=fqmul_zeta_top_a[460];r[460]=a[76]+a[460]-t,matches_original_ntt_s_level0_load_shape
77,77,461,-1033,2735,1,5,v5,v11,v17,77,v5,t=fqmul_zeta_top_a[461];r[77]=a[77]+t,461,v11,t=fqmul_zeta_top_a[461];r[461]=a[77]+a[461]-t,matches_original_ntt_s_level0_load_shape
78,78,462,-1033,2735,1,6,v5,v11,v17,78,v5,t=fqmul_zeta_top_a[462];r[78]=a[78]+t,462,v11,t=fqmul_zeta_top_a[462];r[462]=a[78]+a[462]-t,matches_original_ntt_s_level0_load_shape
79,79,463,-1033,2735,1,7,v5,v11,v17,79,v5,t=fqmul_zeta_top_a[463];r[79]=a[79]+t,463,v11,t=fqmul_zeta_top_a[463];r[463]=a[79]+a[463]-t,matches_original_ntt_s_level0_load_shape
80,80,464,-1033,2735,2,0,v5,v11,v17,80,v5,t=fqmul_zeta_top_a[464];r[80]=a[80]+t,464,v11,t=fqmul_zeta_top_a[464];r[464]=a[80]+a[464]-t,matches_original_ntt_s_level0_load_shape
81,81,465,-1033,2735,2,1,v5,v11,v17,81,v5,t=fqmul_zeta_top_a[465];r[81]=a[81]+t,465,v11,t=fqmul_zeta_top_a[465];r[465]=a[81]+a[465]-t,matches_original_ntt_s_level0_load_shape
82,82,466,-1033,2735,2,2,v5,v11,v17,82,v5,t=fqmul_zeta_top_a[466];r[82]=a[82]+t,466,v11,t=fqmul_zeta_top_a[466];r[466]=a[82]+a[466]-t,matches_original_ntt_s_level0_load_shape
83,83,467,-1033,2735,2,3,v5,v11,v17,83,v5,t=fqmul_zeta_top_a[467];r[83]=a[83]+t,467,v11,t=fqmul_zeta_top_a[467];r[467]=a[83]+a[467]-t,matches_original_ntt_s_level0_load_shape
84,84,468,-1033,2735,2,4,v5,v11,v17,84,v5,t=fqmul_zeta_top_a[468];r[84]=a[84]+t,468,v11,t=fqmul_zeta_top_a[468];r[468]=a[84]+a[468]-t,matches_original_ntt_s_level0_load_shape
85,85,469,-1033,2735,2,5,v5,v11,v17,85,v5,t=fqmul_zeta_top_a[469];r[85]=a[85]+t,469,v11,t=fqmul_zeta_top_a[469];r[469]=a[85]+a[469]-t,matches_original_ntt_s_level0_load_shape
