region,variant,block,slot,cycles
3,0,6,7,1144
3,3,7,0,1137
3,2,7,1,1118
3,1,7,2,1094
3,0,7,3,1169
3,0,7,4,1155
3,1,7,5,1091
3,2,7,6,1104
3,3,7,7,1158
3,0,8,0,1153
3,1,8,1,1132
3,2,8,2,1095
3,3,8,3,1164
3,3,8,4,1168
3,2,8,5,1124
3,1,8,6,1130
3,0,8,7,1160
3,3,9,0,1147
3,2,9,1,1109
3,1,9,2,1093
3,0,9,3,1519
3,0,9,4,1153
3,1,9,5,1118
3,2,9,6,1126
3,3,9,7,1168
3,0,10,0,1146
3,1,10,1,1138
3,2,10,2,1106
3,3,10,3,1169
3,3,10,4,1134
3,2,10,5,1086
3,1,10,6,1097
3,0,10,7,1168
3,3,11,0,1158
3,2,11,1,1107
3,1,11,2,1108
3,0,11,3,1135
3,0,11,4,1166
3,1,11,5,1116
3,2,11,6,1124
3,3,11,7,1175
3,0,12,0,1150
3,1,12,1,1102
3,2,12,2,1117
3,3,12,3,1150
3,3,12,4,1186
3,2,12,5,1117
3,1,12,6,1093
3,0,12,7,1166
3,3,13,0,1161
3,2,13,1,1117
3,1,13,2,1116
3,0,13,3,1177
3,0,13,4,1183
3,1,13,5,1127
3,2,13,6,1098
3,3,13,7,1154
3,0,14,0,1167
3,1,14,1,1148
3,2,14,2,1122
3,3,14,3,1170
3,3,14,4,1166
3,2,14,5,1120
3,1,14,6,1096
3,0,14,7,1204
3,3,15,0,1184
3,2,15,1,1114
3,1,15,2,1118
3,0,15,3,1141
3,0,15,4,1171
3,1,15,5,1114
3,2,15,6,1132
3,3,15,7,1167
3,0,16,0,1166
3,1,16,1,1124
3,2,16,2,1107
3,3,16,3,1145
3,3,16,4,1166
3,2,16,5,1124
3,1,16,6,1110
3,0,16,7,1181
3,3,17,0,1170
3,2,17,1,1132
3,1,17,2,1113
3,0,17,3,1171
3,0,17,4,1157
3,1,17,5,1115
3,2,17,6,1100
3,3,17,7,1157
3,0,18,0,1139
3,1,18,1,1113
3,2,18,2,1122
3,3,18,3,1150
3,3,18,4,1148
3,2,18,5,1098
3,1,18,6,1101
3,0,18,7,1158
3,3,19,0,1157
3,2,19,1,1100
3,1,19,2,1129
3,0,19,3,1194
3,0,19,4,1167
3,1,19,5,1103
3,2,19,6,1129
3,3,19,7,1151
3,0,20,0,1145
3,1,20,1,1114
3,2,20,2,1136
3,3,20,3,1151
3,3,20,4,1163
3,2,20,5,1120
3,1,20,6,1122
3,0,20,7,1174
3,3,21,0,1162
3,2,21,1,1122
3,1,21,2,1125
3,0,21,3,1157
3,0,21,4,1164
