region,block,slot,observation,bank,cycles
0,5,1,21,5,12380
0,5,1,22,6,12354
0,5,1,23,7,12373
0,5,1,24,8,12410
0,5,1,25,9,12396
0,5,1,26,10,12333
0,5,1,27,11,12347
0,5,1,28,12,12402
0,5,1,29,13,12517
0,5,1,30,14,12433
0,5,1,31,15,12344
0,5,2,0,0,12379
0,5,2,1,1,12337
0,5,2,2,2,12322
0,5,2,3,3,12343
0,5,2,4,4,12285
0,5,2,5,5,12325
0,5,2,6,6,12311
0,5,2,7,7,12330
0,5,2,8,8,12368
0,5,2,9,9,12358
0,5,2,10,10,12369
0,5,2,11,11,12425
0,5,2,12,12,12426
0,5,2,13,13,12318
0,5,2,14,14,12486
0,5,2,15,15,12351
0,5,2,16,0,12320
0,5,2,17,1,12517
0,5,2,18,2,12379
0,5,2,19,3,12293
0,5,2,20,4,12367
0,5,2,21,5,12311
0,5,2,22,6,12324
0,5,2,23,7,12394
0,5,2,24,8,12301
0,5,2,25,9,12372
0,5,2,26,10,12443
0,5,2,27,11,12294
0,5,2,28,12,12329
0,5,2,29,13,12352
0,5,2,30,14,12293
0,5,2,31,15,12381
0,5,3,0,0,12504
0,5,3,1,1,12345
